Gender,Age,Region,What is the highest level of education you have completed?,What is your current relationship status?,What's your main occupation?,What is your current household income?,In which social class would you consider yourself? ,How often do you smoke cigarettes?,Do you pay back the entirety of your credit card debt every month?
Female,33,West Midlands,Vocational/Technical college,Living with partner,Junior managerial / Professional / Administrative,"£70,000 - £99,999",Working class,Less than once a month,No
Female,37,East of England,University,Married,Junior managerial / Professional / Administrative,"£70,000 - £99,999",Working class,Never,No
Female,45,West Midlands,Vocational/Technical college,Married,Skilled manual worker,"£70,000 - £99,999",Middle class,Never,No
Female,35,North West,Post-graduate,Single,Intermediate managerial / Professional / Administrative,"£35,000 - £54,999",Middle class,Never,No
Female,52,South East,University,Married,Homemaker,"£10,000 - £16,999",Underclass,Never,No
Female,54,West Midlands,Vocational/Technical college,Married,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,Yes
Female,33,West Midlands,Post-graduate,Living with partner,Skilled manual worker,"£55,000 - £69,999",Working class,Never,I don't have a credit card
Female,51,Wales,Upper Secondary School,Married,Semi-skilled manual worker,Prefer not to say,Middle class,Never,No
Female,50,South West,Upper Secondary School,Married,Skilled manual worker,"£17,000 - £34,999",Lower middle class,Never,No
Female,45,East Midlands,University,Married,Intermediate managerial / Professional / Administrative,"£70,000 - £99,999",Working class,Never,No
Male,45,Yorkshire and The Humber,Lower Secondary School,Single,Unemployed,"£0 - £9,999",Underclass,4+ times a day,I don't have a credit card
Female,53,Yorkshire and The Humber,University,Married,Homemaker,"£10,000 - £16,999",Working class,Never,No
Female,44,West Midlands,Lower Secondary School,Married,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,I don't have a credit card
Male,52,South East,University,Single,Junior managerial / Professional / Administrative,"£17,000 - £34,999",Lower middle class,Never,Yes
Male,28,Yorkshire and The Humber,Lower Secondary School,Married,Skilled manual worker,"£35,000 - £54,999",Working class,4+ times a day,No
Male,48,Scotland,Lower Secondary School,In a relationship,Unemployed,"£0 - £9,999",Lower middle class,Never,Yes
Female,54,South West,University,Separated,Unemployed,"£0 - £9,999",Working class,4+ times a day,No
Male,54,North West,Upper Secondary School,Divorced,Unemployed,"£10,000 - £16,999",Underclass,4+ times a day,I don't have a credit card
Female,54,North West,Upper Secondary School,Married,Unskilled manual worker,"£55,000 - £69,999",Working class,Never,I don't have a credit card
Neither,40,North West,Post-graduate,Married,Senior managerial / Professional / Administrative,"More than £150,000",Working class,Never,Yes
Male,48,East of England,Upper Secondary School,Widowed,Junior managerial / Professional / Administrative,"£0 - £9,999",Working class,Never,I don't have a credit card
Male,50,East Midlands,University,Married,Homemaker,"£0 - £9,999",Lower middle class,Never,Yes
Female,53,West Midlands,Vocational/Technical college,Married,Skilled manual worker,"£10,000 - £16,999",Working class,Never,No
Female,42,South East,Vocational/Technical college,Married,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,No
Female,42,North East,Upper Secondary School,Living with partner,Homemaker,"£10,000 - £16,999",Lower middle class,Never,No
Male,51,East Midlands,Lower Secondary School,Living with partner,Homemaker,"£17,000 - £34,999",Working class,Never,I don't have a credit card
Female,40,Scotland,Lower Secondary School,Living with partner,Skilled manual worker,"£0 - £9,999",Middle class,4+ times a day,I don't have a credit card
Female,39,East Midlands,Vocational/Technical college,Single,Senior managerial / Professional / Administrative,"£10,000 - £16,999",Working class,Never,Yes
Female,53,South West,Vocational/Technical college,Single,Skilled manual worker,"£17,000 - £34,999",Working class,4+ times a day,I don't have a credit card
Female,46,Scotland,Vocational/Technical college,Living with partner,Full-time carer,"£10,000 - £16,999",Working class,4+ times a day,I don't have a credit card
Male,49,East Midlands,Upper Secondary School,Single,Semi-skilled manual worker,"£10,000 - £16,999",Working class,Never,I don't have a credit card
Female,41,East Midlands,Post-graduate,Living with partner,Intermediate managerial / Professional / Administrative,"£35,000 - £54,999",Lower middle class,Never,No
Female,31,South East,University,Single,Senior managerial / Professional / Administrative,"£35,000 - £54,999",Middle class,Never,No
Male,54,South East,Vocational/Technical college,Divorced,Intermediate managerial / Professional / Administrative,"£10,000 - £16,999",Lower middle class,Never,Yes
Male,48,North West,Upper Secondary School,Married,Semi-skilled manual worker,"£35,000 - £54,999",Working class,4+ times a day,I don't have a credit card
Male,51,British Islands,Post-graduate,Married,Junior managerial / Professional / Administrative,"£70,000 - £99,999",Working class,Weekly,No
Female,44,Yorkshire and The Humber,Upper Secondary School,Living with partner,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,No
Male,38,South East,Lower Secondary School,Married,Semi-skilled manual worker,"£17,000 - £34,999",Working class,2-3 times a day,I don't have a credit card
Male,53,North West,Vocational/Technical college,Married,Skilled manual worker,"£17,000 - £34,999",Working class,Never,Yes
Female,34,South West,University,Living with partner,Junior managerial / Professional / Administrative,"£70,000 - £99,999",Middle class,Never,Yes
Male,54,South West,Vocational/Technical college,Married,Intermediate managerial / Professional / Administrative,"£70,000 - £99,999",Middle class,Never,Yes
Male,40,North West,Post-graduate,Living with partner,Intermediate managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,Yes
Female,54,Yorkshire and The Humber,Vocational/Technical college,Married,Full-time carer,"£17,000 - £34,999",Working class,Less than once a month,No
Female,54,South West,University,Single,Junior managerial / Professional / Administrative,"£17,000 - £34,999",Working class,Never,Yes
Female,52,Scotland,Vocational/Technical college,Married,Intermediate managerial / Professional / Administrative,"£35,000 - £54,999",Lower middle class,Never,Yes
Male,54,South East,Vocational/Technical college,Single,Semi-skilled manual worker,"£17,000 - £34,999",Working class,Never,No
Male,48,South West,University,Single,Intermediate managerial / Professional / Administrative,"£35,000 - £54,999",Middle class,Never,Yes
Female,54,Scotland,University,Married,Junior managerial / Professional / Administrative,"£70,000 - £99,999",Middle class,Never,I don't have a credit card
Male,44,Yorkshire and The Humber,Upper Secondary School,Married,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,Yes
Female,48,Yorkshire and The Humber,Vocational/Technical college,Single,Senior managerial / Professional / Administrative,"£17,000 - £34,999",Working class,4+ times a day,Yes
Female,49,South West,Vocational/Technical college,Married,Junior managerial / Professional / Administrative,"£17,000 - £34,999",Middle class,Never,No
Female,49,East Midlands,Vocational/Technical college,Married,Retired,"£17,000 - £34,999",Working class,4+ times a day,No
Female,38,Wales,Upper Secondary School,Living with partner,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,No
Female,43,Scotland,Post-graduate,Married,Senior managerial / Professional / Administrative,"£70,000 - £99,999",Middle class,Never,Yes
Male,37,Yorkshire and The Humber,Vocational/Technical college,Living with partner,Intermediate managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,No
Female,46,North West,Post-graduate,Single,Intermediate managerial / Professional / Administrative,"£55,000 - £69,999",Lower middle class,2-3 times a day,Yes
Female,42,Yorkshire and The Humber,Upper Secondary School,Married,Student,"£17,000 - £34,999",Working class,Never,I don't have a credit card
Female,43,South West,Post-graduate,Single,Homemaker,"£0 - £9,999",Working class,Never,No
Female,48,South East,Upper Secondary School,Single,Junior managerial / Professional / Administrative,"£17,000 - £34,999",Middle class,4+ times a day,I don't have a credit card
Male,52,South East,Vocational/Technical college,Married,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Middle class,Never,No
Female,51,East of England,Upper Secondary School,Married,Homemaker,"£55,000 - £69,999",Lower middle class,Never,Yes
Female,47,East Midlands,University,Married,Homemaker,"£55,000 - £69,999",Middle class,Never,No
Male,35,West Midlands,Vocational/Technical college,Single,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,Yes
Female,40,North West,Vocational/Technical college,Married,Homemaker,"£10,000 - £16,999",Underclass,Never,I don't have a credit card
Male,48,Yorkshire and The Humber,Post-graduate,Married,Intermediate managerial / Professional / Administrative,"£55,000 - £69,999",Working class,Never,No
Female,37,South West,Vocational/Technical college,In a relationship,Semi-skilled manual worker,"£10,000 - £16,999",Working class,4+ times a day,I don't have a credit card
Male,49,Scotland,Upper Secondary School,Living with partner,Skilled manual worker,"£35,000 - £54,999",Working class,Never,I don't have a credit card
Female,44,North West,University,Single,Intermediate managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,Yes
Male,33,North West,University,In a relationship,Intermediate managerial / Professional / Administrative,"£55,000 - £69,999",Middle class,Never,Yes
Male,47,South West,University,Single,Retired,"£0 - £9,999",Middle class,Never,Yes
Female,54,East of England,Upper Secondary School,Separated,Retired,"£0 - £9,999",Working class,4+ times a day,Yes
Female,52,South East,Vocational/Technical college,Married,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Middle class,Never,Yes
Female,41,South West,Vocational/Technical college,Separated,Intermediate managerial / Professional / Administrative,"£55,000 - £69,999",Middle class,Never,I don't have a credit card
Male,41,West Midlands,University,Single,Unemployed,"£0 - £9,999",Working class,Never,No
Female,53,Scotland,Upper Secondary School,Single,Junior managerial / Professional / Administrative,"£0 - £9,999",Lower middle class,Never,I don't have a credit card
Female,36,Yorkshire and The Humber,Upper Secondary School,In a relationship,Unskilled manual worker,"£17,000 - £34,999",Middle class,Never,No
Male,50,East of England,Vocational/Technical college,Married,Junior managerial / Professional / Administrative,"£17,000 - £34,999",Working class,Never,No
Male,54,South West,Vocational/Technical college,Single,Skilled manual worker,"£17,000 - £34,999",Working class,Never,I don't have a credit card
Female,38,East of England,Vocational/Technical college,Single,Unskilled manual worker,"£10,000 - £16,999",Working class,Never,No
Male,31,South East,Vocational/Technical college,Living with partner,Intermediate managerial / Professional / Administrative,"£55,000 - £69,999",Lower middle class,Never,No
Female,46,Scotland,Upper Secondary School,Married,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Lower middle class,Never,No
Female,42,East of England,Vocational/Technical college,Single,Junior managerial / Professional / Administrative,"£0 - £9,999",Working class,2-3 times a day,I don't have a credit card
Male,52,Wales,Upper Secondary School,Divorced,Unskilled manual worker,"£0 - £9,999",Working class,Never,I don't have a credit card
Male,48,Wales,Vocational/Technical college,Married,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Middle class,Never,Yes
Female,54,East Midlands,Upper Secondary School,Married,Unskilled manual worker,"£17,000 - £34,999",Working class,Never,I don't have a credit card
Male,44,North West,University,Married,Intermediate managerial / Professional / Administrative,"£70,000 - £99,999",Working class,Never,No
Female,46,Scotland,Vocational/Technical college,Married,Skilled manual worker,"£17,000 - £34,999",Working class,Never,I don't have a credit card
Female,47,West Midlands,Post-graduate,Separated,Retired,"£10,000 - £16,999",Working class,4+ times a day,No
Female,51,North West,Upper Secondary School,Single,Unemployed,"£10,000 - £16,999",Middle class,Weekly,I don't have a credit card
Female,53,Yorkshire and The Humber,Lower Secondary School,Married,Junior managerial / Professional / Administrative,"£17,000 - £34,999",Working class,Never,Yes
Female,47,North West,Post-graduate,Single,Intermediate managerial / Professional / Administrative,"£35,000 - £54,999",Middle class,Never,No
Male,47,Northern Ireland,Upper Secondary School,Married,Intermediate managerial / Professional / Administrative,"£55,000 - £69,999",Lower middle class,Never,No
Male,37,Yorkshire and The Humber,University,Married,Intermediate managerial / Professional / Administrative,"£55,000 - £69,999",Working class,Never,Yes
Male,54,North West,University,Single,Unemployed,"£0 - £9,999",Working class,Never,No
Male,39,East Midlands,University,Single,Senior managerial / Professional / Administrative,"£70,000 - £99,999",Upper middle class,Never,Yes
Male,51,South West,University,I'd rather not say,Unskilled manual worker,"£17,000 - £34,999",Working class,Never,Yes
Male,51,Yorkshire and The Humber,Vocational/Technical college,Married,Senior managerial / Professional / Administrative,"£0 - £9,999",Working class,Never,Yes
Female,34,South East,University,Separated,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,Yes
Female,38,South East,Vocational/Technical college,Married,Semi-skilled manual worker,"£17,000 - £34,999",Lower middle class,4+ times a day,No
Female,53,East Midlands,Post-graduate,Married,Intermediate managerial / Professional / Administrative,"£17,000 - £34,999",Middle class,Never,Yes
Female,47,South West,Vocational/Technical college,Married,Semi-skilled manual worker,"£17,000 - £34,999",Working class,Never,Yes
Female,47,South East,Upper Secondary School,Living with partner,Junior managerial / Professional / Administrative,"£70,000 - £99,999",Lower middle class,Never,I don't have a credit card
Female,39,Wales,Vocational/Technical college,Living with partner,Intermediate managerial / Professional / Administrative,"£35,000 - £54,999",Working class,4+ times a day,No
Female,48,Scotland,Upper Secondary School,In a relationship,Junior managerial / Professional / Administrative,"£10,000 - £16,999",Underclass,Never,No
Female,41,South West,University,Married,Junior managerial / Professional / Administrative,"£17,000 - £34,999",Upper middle class,Never,Yes
Female,51,West Midlands,Post-graduate,Married,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,No
Neither,37,North West,Vocational/Technical college,Married,Skilled manual worker,"£17,000 - £34,999",Working class,Never,I don't have a credit card
Male,45,Yorkshire and The Humber,University,Married,Semi-skilled manual worker,"£17,000 - £34,999",Lower middle class,Never,I don't have a credit card
Male,52,Wales,Lower Secondary School,Married,Skilled manual worker,"£35,000 - £54,999",Lower middle class,Never,No
Female,46,Wales,University,Married,Homemaker,"£17,000 - £34,999",Working class,Never,I don't have a credit card
Male,42,Yorkshire and The Humber,Lower Secondary School,Living with partner,Semi-skilled manual worker,"£35,000 - £54,999",Working class,Never,Yes
Male,50,North West,Vocational/Technical college,Married,Junior managerial / Professional / Administrative,"£17,000 - £34,999",Working class,Never,I don't have a credit card
Female,52,London,Upper Secondary School,Single,Semi-skilled manual worker,"£17,000 - £34,999",Working class,Never,Yes
Female,44,South East,University,Married,Junior managerial / Professional / Administrative,"£70,000 - £99,999",Lower middle class,Never,Yes
Female,41,Wales,Upper Secondary School,Living with partner,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Less than once a month,No
Female,47,South West,University,Single,Junior managerial / Professional / Administrative,"£17,000 - £34,999",Middle class,Never,No
Female,53,Wales,Post-graduate,Married,Junior managerial / Professional / Administrative,"£17,000 - £34,999",Working class,Never,No
Male,52,Yorkshire and The Humber,Vocational/Technical college,Married,Homemaker,"£17,000 - £34,999",Working class,4+ times a day,No
Neither,47,South West,Vocational/Technical college,Married,Skilled manual worker,"£70,000 - £99,999",Working class,Never,No
Female,54,South East,Vocational/Technical college,Married,Skilled manual worker,"£35,000 - £54,999",Working class,Never,I don't have a credit card
Female,46,Scotland,Vocational/Technical college,Single,Homemaker,"£17,000 - £34,999",Underclass,Never,I don't have a credit card
Male,42,North West,Vocational/Technical college,Married,Junior managerial / Professional / Administrative,"£55,000 - £69,999",Working class,Never,No
Female,49,North West,Vocational/Technical college,Single,Unskilled manual worker,"£0 - £9,999",Underclass,Never,No
Male,47,North West,University,Living with partner,Unskilled manual worker,"£17,000 - £34,999",Working class,Never,I don't have a credit card
Female,50,Yorkshire and The Humber,University,I'd rather not say,Junior managerial / Professional / Administrative,"£55,000 - £69,999",Middle class,Never,Yes
Female,46,South East,Vocational/Technical college,Married,Homemaker,"£10,000 - £16,999",Working class,4+ times a day,I don't have a credit card
Neither,50,North West,Upper Secondary School,Married,Skilled manual worker,"£17,000 - £34,999",Working class,Never,Yes
Female,52,North West,University,Married,Full-time carer,"£0 - £9,999",Underclass,2-3 times a day,No
Male,49,East of England,Vocational/Technical college,Living with partner,Skilled manual worker,"£35,000 - £54,999",Working class,4+ times a day,No
Female,52,East of England,Upper Secondary School,Married,Skilled manual worker,"£17,000 - £34,999",Working class,Never,Yes
Male,52,South East,Vocational/Technical college,Single,Skilled manual worker,"£17,000 - £34,999",Working class,4+ times a day,I don't have a credit card
Female,45,North West,Post-graduate,Separated,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,I don't have a credit card
Male,39,East of England,Upper Secondary School,Married,Senior managerial / Professional / Administrative,"£70,000 - £99,999",Middle class,Never,No
Male,50,East Midlands,University,Single,Skilled manual worker,"£0 - £9,999",Working class,Never,Yes
Female,45,South West,Vocational/Technical college,Married,Skilled manual worker,"£17,000 - £34,999",Working class,Never,Yes
Female,49,South East,Upper Secondary School,Single,Skilled manual worker,"£17,000 - £34,999",Working class,4+ times a day,Yes
Male,47,Northern Ireland,University,Married,Intermediate managerial / Professional / Administrative,"£70,000 - £99,999",Lower middle class,Never,No
Female,49,West Midlands,Post-graduate,Living with partner,Intermediate managerial / Professional / Administrative,"£70,000 - £99,999",Middle class,Never,No
Female,50,North West,University,Divorced,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Middle class,Never,No
Female,50,Yorkshire and The Humber,Lower Secondary School,Married,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,Yes
Male,53,London,Vocational/Technical college,Living with partner,Intermediate managerial / Professional / Administrative,"More than £150,000",Middle class,Never,Yes
Female,51,North West,University,Single,Intermediate managerial / Professional / Administrative,"£70,000 - £99,999",Lower middle class,Never,No
Female,52,Yorkshire and The Humber,Upper Secondary School,Married,Junior managerial / Professional / Administrative,"£10,000 - £16,999",Working class,Never,No
Male,52,London,Post-graduate,Single,Unemployed,"£17,000 - £34,999",Working class,Never,No
Male,51,West Midlands,Post-graduate,Married,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Middle class,Never,Yes
Female,48,Northern Ireland,Lower Secondary School,Married,Junior managerial / Professional / Administrative,"£17,000 - £34,999",Lower middle class,Never,Yes
Female,39,South East,Upper Secondary School,Married,Homemaker,"£17,000 - £34,999",Working class,Never,I don't have a credit card
Female,52,North West,Post-graduate,Divorced,Junior managerial / Professional / Administrative,"£17,000 - £34,999",Working class,Never,I don't have a credit card
Female,30,North East,Post-graduate,Single,Junior managerial / Professional / Administrative,"£17,000 - £34,999",Working class,Never,I don't have a credit card
Female,53,North West,University,Divorced,Retired,"£10,000 - £16,999",Working class,Never,No
Male,30,South West,University,Married,Skilled manual worker,"£55,000 - £69,999",Lower middle class,Never,I don't have a credit card
Female,37,South East,Post-graduate,Married,Semi-skilled manual worker,"£17,000 - £34,999",Working class,Weekly,No
Male,47,East of England,Vocational/Technical college,Married,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,I don't have a credit card
Female,44,North West,Vocational/Technical college,Living with partner,Junior managerial / Professional / Administrative,"£55,000 - £69,999",Working class,Never,No
Female,37,South West,University,Married,Intermediate managerial / Professional / Administrative,"£55,000 - £69,999",Lower middle class,Never,No
Female,43,North West,University,Divorced,Intermediate managerial / Professional / Administrative,"£17,000 - £34,999",Working class,Never,I don't have a credit card
Female,48,East of England,Post-graduate,Married,Senior managerial / Professional / Administrative,"£55,000 - £69,999",Middle class,Never,Yes
Male,41,London,University,Living with partner,Intermediate managerial / Professional / Administrative,"£70,000 - £99,999",Working class,4+ times a day,Yes
Female,49,South West,Vocational/Technical college,In a relationship,Semi-skilled manual worker,"£10,000 - £16,999",Working class,Never,I don't have a credit card
Male,54,Yorkshire and The Humber,Vocational/Technical college,Married,Retired,"£17,000 - £34,999",Middle class,Never,Yes
Male,44,South West,Vocational/Technical college,Married,Skilled manual worker,"£55,000 - £69,999",Working class,Never,I don't have a credit card
Female,40,East of England,University,Single,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Middle class,Never,Yes
Female,46,Yorkshire and The Humber,University,Divorced,Intermediate managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Less than once a month,No
Male,41,North West,Vocational/Technical college,Married,Skilled manual worker,"£35,000 - £54,999",Working class,4+ times a day,No
Male,50,East Midlands,University,Married,Intermediate managerial / Professional / Administrative,"£70,000 - £99,999",Middle class,Never,No
Female,45,West Midlands,Vocational/Technical college,Married,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,No
Male,53,London,Lower Secondary School,Married,Full-time carer,"£55,000 - £69,999",Working class,4+ times a day,I don't have a credit card
