Gender,Age,Region,What is the highest level of education you have completed?,What is your current relationship status?,What's your main occupation?,What is your current household income?,In which social class would you consider yourself? ,How often do you smoke cigarettes?,Do you pay back the entirety of your credit card debt every month?
Female,51,Yorkshire and The Humber,Upper Secondary School,Separated,Junior managerial / Professional / Administrative,"£17,000 - £34,999",Working class,Never,Yes
Female,37,West Midlands,Post-graduate,Married,Intermediate managerial / Professional / Administrative,"£70,000 - £99,999",Middle class,Never,Yes
Female,41,North West,Post-graduate,Single,Intermediate managerial / Professional / Administrative,"£55,000 - £69,999",Lower middle class,Never,No
Female,50,South East,Vocational/Technical college,Single,Junior managerial / Professional / Administrative,"£17,000 - £34,999",Working class,Never,
Male,39,East Midlands,Upper Secondary School,Living with partner,Full-time carer,"£10,000 - £16,999",Underclass,4+ times a day,No
Female,39,East of England,Upper Secondary School,Married,Junior managerial / Professional / Administrative,"£17,000 - £34,999",Lower middle class,Never,No
Female,47,London,University,Single,Junior managerial / Professional / Administrative,"£55,000 - £69,999",Working class,Once/twice a month,Yes
Female,34,Scotland,University,Married,Intermediate managerial / Professional / Administrative,"£70,000 - £99,999",Middle class,Never,No
Male,47,East Midlands,University,Married,Intermediate managerial / Professional / Administrative,"£100,000 - £149,999",Lower middle class,Never,Yes
Female,40,Scotland,Upper Secondary School,Single,Skilled manual worker,"£0 - £9,999",Underclass,Never,I don't have a credit card
Neither,40,West Midlands,Upper Secondary School,Civil Partnership,Student,"£35,000 - £54,999",Lower middle class,Never,No
Female,54,East Midlands,Post-graduate,Single,Intermediate managerial / Professional / Administrative,"£17,000 - £34,999",Working class,4+ times a day,No
Male,52,South East,University,Single,Unemployed,"£17,000 - £34,999",Lower middle class,Never,I don't have a credit card
Male,51,Yorkshire and The Humber,University,Single,Junior managerial / Professional / Administrative,"£17,000 - £34,999",Working class,Never,Yes
Male,43,North West,Post-graduate,In a relationship,Junior managerial / Professional / Administrative,"£17,000 - £34,999",Working class,Never,Yes
Female,47,North West,Upper Secondary School,Married,Homemaker,"£17,000 - £34,999",Underclass,Never,No
Female,48,East of England,Post-graduate,Married,Intermediate managerial / Professional / Administrative,"£70,000 - £99,999",Middle class,Never,No
Female,53,West Midlands,Lower Secondary School,Single,Unskilled manual worker,"£10,000 - £16,999",Lower middle class,Never,I don't have a credit card
Female,47,North West,Upper Secondary School,Married,Full-time carer,"£17,000 - £34,999",Working class,Never,I don't have a credit card
Male,47,East of England,Upper Secondary School,Living with partner,Senior managerial / Professional / Administrative,"£17,000 - £34,999",Lower middle class,Never,I don't have a credit card
Female,52,Yorkshire and The Humber,Upper Secondary School,Living with partner,Unskilled manual worker,"£35,000 - £54,999",Working class,Never,Yes
Neither,23,South West,University,Civil Partnership,Student,"£0 - £9,999",Middle class,4+ times a day,I don't have a credit card
Female,52,West Midlands,Vocational/Technical college,Single,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,Yes
Female,43,Yorkshire and The Humber,Vocational/Technical college,Living with partner,Intermediate managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Once a day,No
Male,53,Wales,University,Married,Skilled manual worker,"£17,000 - £34,999",Working class,Never,
Female,38,South East,University,Married,Full-time carer,"£17,000 - £34,999",Middle class,Never,Yes
Female,34,North East,University,Living with partner,Intermediate managerial / Professional / Administrative,"£55,000 - £69,999",Middle class,Never,Yes
Female,51,Northern Ireland,Vocational/Technical college,Married,Semi-skilled manual worker,"£35,000 - £54,999",Middle class,Never,I don't have a credit card
Female,47,South West,Vocational/Technical college,Married,Unskilled manual worker,"£55,000 - £69,999",Working class,Never,Yes
Female,51,West Midlands,Vocational/Technical college,Married,Homemaker,"£35,000 - £54,999",Working class,Never,I don't have a credit card
Male,47,Wales,University,Separated,Skilled manual worker,"£55,000 - £69,999",Lower middle class,Never,Yes
Female,38,Yorkshire and The Humber,University,Divorced,Skilled manual worker,"£17,000 - £34,999",Working class,Never,No
Female,38,Scotland,University,Single,Semi-skilled manual worker,"£17,000 - £34,999",Working class,Never,I don't have a credit card
Female,49,South West,Vocational/Technical college,Married,Senior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,Yes
Female,50,North West,Vocational/Technical college,Married,Skilled manual worker,"£17,000 - £34,999",Underclass,4+ times a day,I don't have a credit card
Female,53,East Midlands,Upper Secondary School,Married,Junior managerial / Professional / Administrative,"£17,000 - £34,999",Lower middle class,Never,No
Male,53,British Islands,Vocational/Technical college,Married,Intermediate managerial / Professional / Administrative,"£35,000 - £54,999",Middle class,4+ times a day,I don't have a credit card
Female,48,Wales,University,Living with partner,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Lower middle class,Never,No
Male,53,East of England,Vocational/Technical college,Living with partner,Skilled manual worker,"£35,000 - £54,999",Working class,Never,No
Female,48,South East,Vocational/Technical college,Living with partner,Intermediate managerial / Professional / Administrative,"£17,000 - £34,999",Working class,Never,No
Male,52,Yorkshire and The Humber,Upper Secondary School,Divorced,Semi-skilled manual worker,"£17,000 - £34,999",Working class,Never,No
Male,28,South East,Post-graduate,Single,Junior managerial / Professional / Administrative,"£17,000 - £34,999",Lower middle class,Never,Yes
Male,48,Scotland,Upper Secondary School,Single,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,4+ times a day,Yes
Male,54,North West,University,Married,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Lower middle class,Never,Yes
Female,45,South East,Vocational/Technical college,I'd rather not say,Unemployed,"£10,000 - £16,999",Working class,4+ times a day,No
Female,51,Scotland,Vocational/Technical college,Living with partner,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,Yes
Male,45,East Midlands,Upper Secondary School,Divorced,Semi-skilled manual worker,"£0 - £9,999",Working class,Less than once a month,No
Female,41,North West,Post-graduate,Divorced,Casual worker - not permanent,"£55,000 - £69,999",Middle class,Never,I don't have a credit card
Female,37,East Midlands,Upper Secondary School,Living with partner,Homemaker,"£17,000 - £34,999",Working class,Never,I don't have a credit card
Female,43,East Midlands,Post-graduate,Married,Intermediate managerial / Professional / Administrative,"£100,000 - £149,999",Lower middle class,Never,Yes
Male,38,South West,University,Married,Intermediate managerial / Professional / Administrative,"£55,000 - £69,999",Middle class,Never,Yes
Female,35,Yorkshire and The Humber,University,Single,Intermediate managerial / Professional / Administrative,"£17,000 - £34,999",Lower middle class,Never,I don't have a credit card
Female,37,Scotland,Post-graduate,Married,Senior managerial / Professional / Administrative,"£100,000 - £149,999",Middle class,Once/twice a month,I don't have a credit card
Male,43,East Midlands,Upper Secondary School,Single,Unemployed,"£17,000 - £34,999",Working class,Never,I don't have a credit card
Male,30,East Midlands,University,Married,Intermediate managerial / Professional / Administrative,"£55,000 - £69,999",Middle class,Never,Yes
Female,50,East Midlands,Post-graduate,Married,Intermediate managerial / Professional / Administrative,"£70,000 - £99,999",Middle class,Never,Yes
Female,37,South West,Upper Secondary School,Living with partner,Junior managerial / Professional / Administrative,"£70,000 - £99,999",Working class,Once/twice a month,I don't have a credit card
Female,40,North West,University,Married,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,No
Male,50,North West,Vocational/Technical college,Single,Skilled manual worker,"£35,000 - £54,999",Middle class,Never,No
Female,52,Yorkshire and The Humber,Lower Secondary School,Married,Homemaker,"£17,000 - £34,999",Working class,Never,I don't have a credit card
Female,51,North West,Vocational/Technical college,Married,Unemployed,"£17,000 - £34,999",Working class,Never,I don't have a credit card
Male,54,Yorkshire and The Humber,Upper Secondary School,Divorced,Junior managerial / Professional / Administrative,"£17,000 - £34,999",Working class,Never,No
Female,53,Wales,Post-graduate,Living with partner,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Middle class,Never,Yes
Female,43,North West,Post-graduate,Married,Senior managerial / Professional / Administrative,"£70,000 - £99,999",Lower middle class,Never,I don't have a credit card
Female,40,North West,Vocational/Technical college,Living with partner,Senior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,I don't have a credit card
Female,38,Scotland,Vocational/Technical college,Married,Junior managerial / Professional / Administrative,"£70,000 - £99,999",Lower middle class,Never,No
Male,39,South West,Upper Secondary School,Married,Skilled manual worker,"£35,000 - £54,999",Working class,Less than once a month,No
Female,48,East Midlands,University,Married,Intermediate managerial / Professional / Administrative,"£70,000 - £99,999",Middle class,Never,No
Female,51,East of England,Upper Secondary School,I'd rather not say,Intermediate managerial / Professional / Administrative,"£17,000 - £34,999",Middle class,Never,Yes
Female,44,Yorkshire and The Humber,Upper Secondary School,Living with partner,Intermediate managerial / Professional / Administrative,"£70,000 - £99,999",Lower middle class,Less than once a month,No
Female,42,North East,Upper Secondary School,Single,Unskilled manual worker,"£10,000 - £16,999",Working class,Never,I don't have a credit card
Female,46,Scotland,Upper Secondary School,Married,Unskilled manual worker,"£17,000 - £34,999",Working class,Never,No
Female,37,South West,Vocational/Technical college,Single,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Lower middle class,Never,I don't have a credit card
Male,43,West Midlands,University,Living with partner,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Middle class,Never,Yes
Male,51,West Midlands,Vocational/Technical college,Separated,Intermediate managerial / Professional / Administrative,"£55,000 - £69,999",Middle class,Never,Yes
Female,52,London,Vocational/Technical college,Living with partner,Senior managerial / Professional / Administrative,"£10,000 - £16,999",Working class,Never,I don't have a credit card
Female,50,North East,Upper Secondary School,Single,Full-time carer,"£0 - £9,999",Working class,Never,I don't have a credit card
Male,47,East of England,Vocational/Technical college,Single,Intermediate managerial / Professional / Administrative,"£70,000 - £99,999",Working class,2-3 times a day,Yes
Female,47,South East,Post-graduate,Married,Intermediate managerial / Professional / Administrative,"£10,000 - £16,999",Lower middle class,Never,I don't have a credit card
Female,38,West Midlands,Vocational/Technical college,Living with partner,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,Yes
Female,27,South East,University,In a relationship,Unemployed,"£17,000 - £34,999",Middle class,Never,I don't have a credit card
Male,54,Yorkshire and The Humber,Upper Secondary School,Married,Skilled manual worker,"£35,000 - £54,999",Lower middle class,4+ times a day,Yes
Female,40,South West,University,Single,Intermediate managerial / Professional / Administrative,"£17,000 - £34,999",Middle class,Never,I don't have a credit card
Female,42,South East,Vocational/Technical college,Living with partner,Unskilled manual worker,"£35,000 - £54,999",Working class,Never,No
Female,45,Yorkshire and The Humber,Vocational/Technical college,Living with partner,Junior managerial / Professional / Administrative,"£55,000 - £69,999",Working class,Never,Yes
Male,42,East of England,Upper Secondary School,Married,Semi-skilled manual worker,"£55,000 - £69,999",Working class,Never,Yes
Male,47,East of England,Upper Secondary School,Married,Intermediate managerial / Professional / Administrative,"£55,000 - £69,999",Lower middle class,Never,No
Male,45,East of England,Vocational/Technical college,Married,Intermediate managerial / Professional / Administrative,"£70,000 - £99,999",Working class,Never,No
Female,37,South East,University,Married,Intermediate managerial / Professional / Administrative,"£70,000 - £99,999",Lower middle class,Never,Yes
Female,34,East of England,Post-graduate,Married,Intermediate managerial / Professional / Administrative,"£70,000 - £99,999",Middle class,Never,No
Male,41,Scotland,Post-graduate,Married,Intermediate managerial / Professional / Administrative,"£55,000 - £69,999",Middle class,Never,No
Male,45,Wales,Vocational/Technical college,Married,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Less than once a month,No
Male,50,Wales,Post-graduate,Single,Full-time carer,"£100,000 - £149,999",Working class,Never,
Female,53,West Midlands,University,Married,Homemaker,"£70,000 - £99,999",Lower middle class,Never,Yes
Female,51,Scotland,Vocational/Technical college,Married,Intermediate managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,Yes
Female,46,East of England,Vocational/Technical college,In a relationship,Intermediate managerial / Professional / Administrative,"£17,000 - £34,999",Working class,Less than once a month,Yes
Female,38,South West,University,Married,Junior managerial / Professional / Administrative,"£55,000 - £69,999",Working class,Never,No
Female,44,Northern Ireland,University,Living with partner,Intermediate managerial / Professional / Administrative,"£17,000 - £34,999",Working class,4+ times a day,No
Neither,52,South East,Vocational/Technical college,Married,Student,"£17,000 - £34,999",Underclass,Never,Yes
Female,33,North West,University,Married,Intermediate managerial / Professional / Administrative,"£35,000 - £54,999",Lower middle class,Never,I don't have a credit card
Female,37,Wales,Vocational/Technical college,Single,Prefer not to say,"£17,000 - £34,999",Working class,Less than once a month,I don't have a credit card
Female,49,South West,Post-graduate,Married,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,No
Female,49,North West,Vocational/Technical college,Married,Intermediate managerial / Professional / Administrative,"£55,000 - £69,999",Lower middle class,Never,Yes
Male,53,East Midlands,University,In a relationship,Intermediate managerial / Professional / Administrative,"£17,000 - £34,999",Lower middle class,4+ times a day,Yes
Female,36,Wales,Upper Secondary School,Single,Junior managerial / Professional / Administrative,"£17,000 - £34,999",Working class,Never,
Female,53,West Midlands,Lower Secondary School,In a relationship,Homemaker,"£10,000 - £16,999",Working class,Never,No
Female,36,South East,Upper Secondary School,Married,Semi-skilled manual worker,"£35,000 - £54,999",Working class,Never,I don't have a credit card
Female,37,Yorkshire and The Humber,University,Married,Junior managerial / Professional / Administrative,"£70,000 - £99,999",Lower middle class,Never,Yes
Female,33,North West,Post-graduate,Married,Intermediate managerial / Professional / Administrative,"£70,000 - £99,999",Lower middle class,Never,No
Female,45,South East,Vocational/Technical college,Single,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Weekly,I don't have a credit card
Female,52,Wales,University,Married,Junior managerial / Professional / Administrative,"£17,000 - £34,999",Working class,Never,I don't have a credit card
Female,34,South East,Vocational/Technical college,In a relationship,Semi-skilled manual worker,"£70,000 - £99,999",Working class,Never,Yes
Female,36,South East,University,Married,Intermediate managerial / Professional / Administrative,"£100,000 - £149,999",Middle class,Never,Yes
Female,54,South West,Upper Secondary School,Married,Unskilled manual worker,"£35,000 - £54,999",Middle class,4+ times a day,
Female,49,South East,Upper Secondary School,Married,Semi-skilled manual worker,"£35,000 - £54,999",Lower middle class,Never,I don't have a credit card
Male,40,South East,Vocational/Technical college,Single,Unemployed,"£10,000 - £16,999",Working class,4+ times a day,I don't have a credit card
Male,32,London,University,Married,Intermediate managerial / Professional / Administrative,"More than £150,000",Prefer not to say,Never,Yes
Male,51,North West,Vocational/Technical college,Married,Intermediate managerial / Professional / Administrative,"£55,000 - £69,999",Middle class,Never,I don't have a credit card
Female,39,South West,University,Married,Semi-skilled manual worker,"£17,000 - £34,999",Underclass,Never,No
Female,53,Yorkshire and The Humber,Vocational/Technical college,Married,Senior managerial / Professional / Administrative,"£100,000 - £149,999",Middle class,Never,No
Male,44,South East,Lower Secondary School,Married,Full-time carer,"£10,000 - £16,999",Lower middle class,Less than once a month,I don't have a credit card
Male,46,Wales,Vocational/Technical college,Living with partner,Skilled manual worker,"£35,000 - £54,999",Working class,4+ times a day,I don't have a credit card
Female,54,East of England,Vocational/Technical college,Living with partner,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Middle class,4+ times a day,No
Male,42,Scotland,Vocational/Technical college,Living with partner,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Weekly,No
Male,38,Yorkshire and The Humber,Post-graduate,Married,Skilled manual worker,"£17,000 - £34,999",Working class,Never,Yes
Male,31,East Midlands,University,Living with partner,Intermediate managerial / Professional / Administrative,"£17,000 - £34,999",Lower middle class,Never,I don't have a credit card
Female,53,South West,Vocational/Technical college,Single,Semi-skilled manual worker,"£10,000 - £16,999",Middle class,Never,Yes
Female,33,South East,Vocational/Technical college,Living with partner,Junior managerial / Professional / Administrative,"£17,000 - £34,999",Working class,Never,No
Male,43,South East,University,Married,Intermediate managerial / Professional / Administrative,"£55,000 - £69,999",Middle class,Never,Yes
Female,48,East Midlands,Vocational/Technical college,Married,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Middle class,Never,Yes
Female,35,North West,Upper Secondary School,Living with partner,Intermediate managerial / Professional / Administrative,"£17,000 - £34,999",Working class,4+ times a day,I don't have a credit card
Male,39,Yorkshire and The Humber,Vocational/Technical college,Single,Skilled manual worker,"£35,000 - £54,999",Working class,Never,I don't have a credit card
Male,49,South West,University,In a relationship,Intermediate managerial / Professional / Administrative,"£10,000 - £16,999",Working class,Never,I don't have a credit card
Female,45,South East,Vocational/Technical college,Living with partner,Unskilled manual worker,"£35,000 - £54,999",Working class,Never,No
Male,49,East of England,University,Married,Senior managerial / Professional / Administrative,"£100,000 - £149,999",Middle class,Never,No
Male,52,Yorkshire and The Humber,Upper Secondary School,Single,Skilled manual worker,"£35,000 - £54,999",Middle class,Never,Yes
Female,51,North East,Vocational/Technical college,Living with partner,Intermediate managerial / Professional / Administrative,"£35,000 - £54,999",Middle class,Never,No
Female,53,South West,Upper Secondary School,Married,Retired,"£35,000 - £54,999",Underclass,4+ times a day,I don't have a credit card
Female,54,South West,Upper Secondary School,Separated,Unemployed,"£0 - £9,999",Working class,Never,I don't have a credit card
Male,48,South West,Upper Secondary School,Single,Unemployed,"£10,000 - £16,999",Working class,4+ times a day,Yes
Female,35,South West,Upper Secondary School,Married,Junior managerial / Professional / Administrative,"£55,000 - £69,999",Working class,Never,I don't have a credit card
Female,54,Northern Ireland,Vocational/Technical college,Separated,Junior managerial / Professional / Administrative,"£70,000 - £99,999",Working class,Never,I don't have a credit card
Male,39,East Midlands,Post-graduate,Married,Senior managerial / Professional / Administrative,"£70,000 - £99,999",Middle class,Never,No
Male,37,Wales,University,Married,Junior managerial / Professional / Administrative,"£35,000 - £54,999",Lower middle class,Never,No
Female,45,North West,Vocational/Technical college,Living with partner,Junior managerial / Professional / Administrative,"£17,000 - £34,999",Lower middle class,Never,No
Male,50,North West,University,Married,Junior managerial / Professional / Administrative,"£100,000 - £149,999",Working class,Never,Yes
Female,47,North East,Post-graduate,Living with partner,Intermediate managerial / Professional / Administrative,"£70,000 - £99,999",Lower middle class,Never,Yes
Female,48,North West,Post-graduate,Single,Intermediate managerial / Professional / Administrative,"£35,000 - £54,999",Lower middle class,Never,Yes
Male,48,West Midlands,Upper Secondary School,In a relationship,Unemployed,"£0 - £9,999",Working class,Never,I don't have a credit card
Male,36,East Midlands,University,Married,Senior managerial / Professional / Administrative,"£70,000 - £99,999",Middle class,Never,Yes
Female,48,South West,University,Married,Junior managerial / Professional / Administrative,"£70,000 - £99,999",Lower middle class,Never,No
Female,54,East Midlands,Vocational/Technical college,Living with partner,Homemaker,"£35,000 - £54,999",Lower middle class,Never,
Male,48,Scotland,University,Single,Intermediate managerial / Professional / Administrative,"£35,000 - £54,999",Working class,Never,I don't have a credit card
Female,52,North West,University,In a relationship,Senior managerial / Professional / Administrative,"£100,000 - £149,999",Lower middle class,Never,No
Female,39,North West,Upper Secondary School,Married,Junior managerial / Professional / Administrative,"£55,000 - £69,999",Working class,Never,I don't have a credit card
Female,49,London,University,Married,Intermediate managerial / Professional / Administrative,"£70,000 - £99,999",Middle class,Never,No
Male,34,Yorkshire and The Humber,University,Living with partner,Senior managerial / Professional / Administrative,"£55,000 - £69,999",Working class,Never,No
Male,41,East of England,Vocational/Technical college,Married,Semi-skilled manual worker,"£35,000 - £54,999",Lower middle class,4+ times a day,Yes
Male,53,Wales,Vocational/Technical college,Married,Retired,Prefer not to say,Working class,Never,No
Female,40,West Midlands,University,Married,Intermediate managerial / Professional / Administrative,"£17,000 - £34,999",Upper middle class,Once a day,Yes
Female,32,Yorkshire and The Humber,University,Civil Partnership,Junior managerial / Professional / Administrative,"£70,000 - £99,999",Lower middle class,Never,No
Female,53,West Midlands,Vocational/Technical college,Living with partner,Semi-skilled manual worker,"£35,000 - £54,999",Working class,4+ times a day,No
Female,53,South East,Lower Secondary School,Single,Unemployed,"£0 - £9,999",Working class,Never,No
Female,44,South West,Post-graduate,Living with partner,Intermediate managerial / Professional / Administrative,"£100,000 - £149,999",Working class,Never,No
